Titleofevent,artist,date,fb,geners,linkofstream,poster
Ted Yoder Band Livestream,Ted Yoder,"Aug 22nd, 2020",https://www.facebook.com/tedyoder/,,tedyodermusic.com,https://photos.bandsintown.com/thumb/10478415.jpeg
Afternoon Delight,CHACHI,"Aug 20th, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
The Evening Booze with Chachi,CHACHI,"Aug 15th, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
,Mister Teaser,"Aug 16th, 2020",https://www.facebook.com/misterteaser/,"Alternative, Electro House, Rnb-soul, Nu Dance, House, Funk, Indie Dance, Nu Disco, Electronic, R&b, New Wave Alternative, Soul, R&b/soul",Facebook,https://photos.bandsintown.com/thumb/6175743.jpeg
i sing the sax electric,Noah Peterson,"Aug 16th, 2020",https://www.facebook.com/noahpetersonsax/,"Jazz, Improv, Electro, Funk, Ambient, Blues, Nu Jazz, Reggae",www.streetjelly.com,https://photos.bandsintown.com/thumb/8520567.jpeg
"( LIVE ) THE BEST OF Blues, Folk & Country",Augusto Bon Vivant,"Aug 15th, 2020",https://www.facebook.com/augustobonvivantblues/,"Folk, Jazz, Country Blues, Blues",YouTube,https://photos.bandsintown.com/thumb/10420114.jpeg
The 59th Annual Philadelphia Folk Fest,Yasmin Williams,"Aug 14th, 2020",https://facebook.com/yasminmwilliams,"Folk, Fingerstyle Guitar, Acoustic",folkfest.org,https://photos.bandsintown.com/thumb/8819005.jpeg
Ultrasonica at Studio 401 (streaming) hard techno dj set,Christian Reino LEDH,"Aug 21st, 2020",https://www.facebook.com/christianreinoledh,"Techno, Hard Techno",Facebook,https://photos.bandsintown.com/thumb/10399253.jpeg
LP Giobbi’s Chicago House Set,LP Giobbi,"Aug 21st, 2020",https://www.facebook.com/LPGiobbi/,"Dance Pop, Electro House, Disco, House, Electro Pop",Dice.fm,https://photos.bandsintown.com/thumb/10464260.jpeg
,Donald Runnicles,"Aug 21st, 2020",,,www.jambase.com,https://assets.bandsintown.com/images/fallbackImage.png
,Pandit Venkatesh Kumar,"Aug 16th, 2020",,,in.bookmyshow.com,https://assets.bandsintown.com/images/fallbackImage.png
,Winter Haven,"Aug 15th, 2020",,,www.eventbrite.com,https://assets.bandsintown.com/images/fallbackImage.png
Live From The Launching Pad,Cary Morin,"Aug 15th, 2020",https://www.facebook.com/CaryMorinBlues/,"Blues, Folk Blues, Americana, Acoustic Blues, Contemporary Blues, Fingerstyle Guitar, Folk, Roots, Native Americana Fingerstyle Blues",Facebook,https://photos.bandsintown.com/thumb/9212936.jpeg
Nicholas Wells Virtual Concert,Nicholas Wells,"Aug 14th, 2020",https://www.facebook.com/NicholasWellsMusic/,Singer-Songwriter Pop,YouTube,https://photos.bandsintown.com/thumb/8482013.jpeg
,ROOTINE AFRODANCE,"Aug 15th, 2020",,,Facebook,https://assets.bandsintown.com/images/fallbackImage.png
Unmask your heart ,Colé van dais,"Aug 15th, 2020",https://www.facebook.com/colevandais/,"Alternative Rock, Adult Contemporary, Pop, Rock, World Music, Indie, Jazz, African",www.colevandais.com,https://photos.bandsintown.com/thumb/9160409.jpeg
Nicholas Wells Virtual Concert,Nicholas Wells,"Aug 14th, 2020",https://www.facebook.com/NicholasWellsMusic/,Singer-Songwriter Pop,YouTube,https://photos.bandsintown.com/thumb/8482013.jpeg
,Sue Graves,"Aug 24th, 2020",,,Ents24,https://assets.bandsintown.com/images/fallbackImage.png
You Make the Set-List Zoom Show,Carrie Welling,"Aug 23rd, 2020",https://www.facebook.com/carriewellingmusic/,"Country, Americana, Folk",zoom.us,https://photos.bandsintown.com/thumb/10365879.jpeg
QNRC Podcast Premier,Jamison Douville,"Aug 22nd, 2020",,,Facebook,https://photos.bandsintown.com/thumb/10473271.jpeg
Dj-I.c.Dre’-WORLDWIDE POWER MIXx,Dj-I.c.Dre',"Aug 22nd, 2020",https://www.facebook.com/djicdre/,"Really, I Can Play It All, Music You Can Feel..., Feel Good Music-soulful Music",linktr.ee,https://photos.bandsintown.com/thumb/10481434.jpeg
LIVE in studio with Danny Cocke,Danny Cocke Music,"Aug 20th, 2020",,"Soundtracks, Ambient, Electronic",streamlink.to,https://photos.bandsintown.com/thumb/8791419.jpeg
,Dash,"Aug 21st, 2020",https://www.facebook.com/DASHBANDMT/,,Dice.fm,https://photos.bandsintown.com/thumb/8137956.jpeg
,Niki Kennedy,"Aug 21st, 2020",https://facebook.com/nikikennedyca,,sessionslive.com,https://photos.bandsintown.com/thumb/10024935.jpeg
,Hayley Jane,"Aug 20th, 2020",https://www.facebook.com/thehayleyjane/,"Americana, Indie Folk",www.jambase.com,https://photos.bandsintown.com/thumb/10082599.jpeg
,Donald Runnicles,"Aug 19th, 2020",,,www.jambase.com,https://assets.bandsintown.com/images/fallbackImage.png
Eighties Rewind Virtual Concert with Pinter Whitnick,Alex Mendenall,"Aug 19th, 2020",https://facebook.com/alexmendenallmusic,"Soul, Jazz, Indie, Alternative",Facebook,https://photos.bandsintown.com/thumb/9148102.jpeg
Sunday Songs Livestream,Joe Pug,"Aug 16th, 2020",https://www.facebook.com/joepugmusic/,Indie,YouTube,https://photos.bandsintown.com/thumb/7158933.jpeg
Brazilian Day,Carlos Dias,"Aug 16th, 2020",,,Instagram,https://photos.bandsintown.com/thumb/10481992.jpeg
Paul Carella Livestream on Stageit,Paul Carella,"Aug 14th, 2020",https://www.facebook.com/paulcarellamusic/,"Country Blues, Rock, Americana, Blues",Stageit,https://photos.bandsintown.com/thumb/8418065.jpeg
"Wknd Fous, 2e Édition",DJ kärl k-otik,"Aug 15th, 2020",https://www.facebook.com/djkarlkotik,"Techno, Progressive Trance, Trance",Twitch,https://photos.bandsintown.com/thumb/10458788.jpeg
THE HOTEL LOBBY'S AFTER PARTY BANDSINTOWN LIVE!,DJ SEDUZA,"Aug 15th, 2020",,,Twitch,https://assets.bandsintown.com/images/fallbackImage.png
Andrea Pimpini Online Tour 2020 - 2021,Andrea Pimpini,"Aug 16th, 2020",https://www.facebook.com/andrewufficiale/,Pop,YouTube,https://photos.bandsintown.com/thumb/10058112.jpeg
OurGlassZoo Virtual EP Release Concert,Ourglasszoo,"Aug 22nd, 2020",https://www.facebook.com/ourglasszoo/,,www.vtixonline.com,https://photos.bandsintown.com/thumb/9952264.jpeg
,Nocheros,"Aug 22nd, 2020",,,bue.tickethoy.com,https://photos.bandsintown.com/thumb/6041554.jpeg
Chicago Loud 9 Livestream - Covers Set!,Chicago Loud 9,"Aug 21st, 2020",https://Facebook.com/chicagoloud9,"Windy City Roots, Funk N Soul, Hip Hop Rock N Roll",Facebook,https://photos.bandsintown.com/thumb/9833309.jpeg
,SigNos,"Aug 22nd, 2020",https://www.facebook.com/loscuatropy/,,bue.tickethoy.com,https://photos.bandsintown.com/thumb/7236686.jpeg
,Jennifer Hartswick,"Aug 23rd, 2020",,,www.jambase.com,https://assets.bandsintown.com/images/fallbackImage.png
,Jessica Childress,"Aug 21st, 2020",https://www.facebook.com/jessicachildressmusic/,"R&b, Soul",bit.ly,https://photos.bandsintown.com/thumb/8584010.jpeg
Aaron English livestream concert: The Dog Days of Summer,Aaron English,"Aug 22nd, 2020",https://www.facebook.com/aaronenglishmusic/,Singer-songwriter,Facebook,https://photos.bandsintown.com/thumb/8212379.jpeg
Tuesday Jams! Socorra LIVE!  ,Socorra,"Aug 18th, 2020",https://www.facebook.com/socorramusic/,"Folk Rock, Rock, Indie Folk, Blues, Indie Rock, Folk Soul",Facebook,https://photos.bandsintown.com/thumb/10482518.jpeg
,Michael Shanks,"Aug 20th, 2020",https://www.facebook.com/ShanksterMusic/,"Funk, Blues & Rock, Psychedelic Rock",Instagram,https://photos.bandsintown.com/thumb/8847505.jpeg
,Dj Stormin' Norman,"Aug 16th, 2020",,,ticketmaster.evyy.net,https://assets.bandsintown.com/images/fallbackImage.png
,Artistry,"Aug 22nd, 2020",,,in.bookmyshow.com,https://photos.bandsintown.com/thumb/6818243.jpeg
,Dj Sumit Sethi,"Aug 16th, 2020",https://www.facebook.com/sumitsethiofficial/,"Electronic, Commercial House, Bollywood, International",in.bookmyshow.com,https://photos.bandsintown.com/thumb/6223336.jpeg
Voltronic Underground - Brett Star,Voltronic Underground,"Aug 15th, 2020",https://www.facebook.com/voltronic.underground,Dnb,Twitch,https://photos.bandsintown.com/thumb/10425760.jpeg
,more,"Aug 22nd, 2020",,,elasticarts.org,https://photos.bandsintown.com/thumb/10460635.jpeg
Lyrical Kombat,LeeN_NLT,"Aug 17th, 2020",,"Improvisation, Freestyle, Structured Improvisation, Free Improvisation",Twitch,https://photos.bandsintown.com/thumb/10456881.jpeg
LOUDER LOUDER-Livestream-,ADAM-SITES,"Aug 16th, 2020",,,YouTube,https://photos.bandsintown.com/thumb/10480107.jpeg
,IamSacha,"Aug 15th, 2020",https://www.facebook.com/sacha4music,Country,Facebook,https://photos.bandsintown.com/thumb/10428670.jpeg
Queen City Shout Virtual Music Festival,David Loving,"Aug 17th, 2020",,,Facebook,https://photos.bandsintown.com/thumb/10457389.jpeg
Live Stream @ Keney Park Pond House,Saskia Laroo Band,"Aug 16th, 2020",https://www.facebook.com/SaskiaLarooOfficial/,"Jazz, Jazzfunk",Facebook,https://photos.bandsintown.com/thumb/9525762.jpeg
Thursday Night Keyboard Shuffle,Kira Small,"Aug 20th, 2020",https://www.facebook.com/KiraSmallMusic/,"Jazz And More..., Piano-vocals, Soul, Female Vocals, Singer - Songwriter",Facebook,https://photos.bandsintown.com/thumb/10410066.jpeg
Saturday Afternoon Special!,Heather Pierson,"Aug 15th, 2020",https://www.facebook.com/HeatherPiersonMusic/,"Jazz, Blues, Folk",Facebook,https://photos.bandsintown.com/thumb/10157682.jpeg
Aaron English livestream concert: The Dog Days of Summer,Aaron English,"Aug 15th, 2020",https://www.facebook.com/aaronenglishmusic/,Singer-songwriter,Facebook,https://photos.bandsintown.com/thumb/8212379.jpeg
Music Lives On,ROCKET PENGWIN,"Aug 14th, 2020",https://www.facebook.com/rocketpengwin,"Electropop, Indie Dance, Electronic Rock",www.livexlive.com,https://photos.bandsintown.com/thumb/10309782.jpeg
Echoes and Edges Open Collab #5 AUGUST - Improvised collaborations between music and poetry,Charlie + Jake,"Aug 15th, 2020",https://www.facebook.com/charlieandjake/,"Jazz Blues, Jazz-funk, Pop, Soul, Jazz-pop, Soul-blues, Soul Jazz, Jazz",YouTube,https://photos.bandsintown.com/thumb/9329047.jpeg
,Dash,"Aug 14th, 2020",https://www.facebook.com/DASHBANDMT/,,Dice.fm,https://photos.bandsintown.com/thumb/8137956.jpeg
Dj-I.c.Dre’-WORLDWIDE POWER MIXx,Dj-I.c.Dre',"Aug 14th, 2020",https://www.facebook.com/djicdre/,"Really, I Can Play It All, Music You Can Feel..., Feel Good Music-soulful Music",linktr.ee,https://photos.bandsintown.com/thumb/10481434.jpeg
Headphones On feat. Barstow Revival ,Barstow Revival,"Aug 20th, 2020",https://www.facebook.com/BarstowRevival/,Americana,Facebook,https://photos.bandsintown.com/thumb/9152931.jpeg
The Wednesday Evening Standard Hour,Heather Pierson,"Aug 19th, 2020",https://www.facebook.com/HeatherPiersonMusic/,"Jazz, Blues, Folk",Facebook,https://photos.bandsintown.com/thumb/10157682.jpeg
Happy Hour Livestream w/ Joey Calderaio,Joey Calderaio,"Aug 21st, 2020",https://www.facebook.com/joeycalderaio,"Acoustic, Reggae, Reggae-rock, Rock",Facebook,https://photos.bandsintown.com/thumb/9281215.jpeg
,DJ GT,"Aug 21st, 2020",,,in.bookmyshow.com,https://photos.bandsintown.com/thumb/166544.jpeg
Live Stream @ Keney Park Pond House,Saskia Laroo,"Aug 16th, 2020",https://www.facebook.com/SaskiaLarooOfficial,"Jazz, World Fusion, Rap, Groove Beat, Jazz-improvisatie",Facebook,https://photos.bandsintown.com/thumb/9647669.jpeg
TUESDAY NIGHT LIVE,Dustin Lee Martin,"Aug 18th, 2020",https://www.facebook.com/DustinMartinMusic/,,Facebook,https://photos.bandsintown.com/thumb/8988889.jpeg
,Yuki Yoshida,"Aug 16th, 2020",,,YouTube,https://assets.bandsintown.com/images/fallbackImage.png
Re - Transmision Selvazul Amazonas (streaming) techno dj set,Christian Reino LEDH,"Aug 15th, 2020",https://www.facebook.com/christianreinoledh,"Techno, Hard Techno",Facebook,https://photos.bandsintown.com/thumb/10399253.jpeg
,Herman Li,"Aug 18th, 2020",https://www.facebook.com/hermanli.online/,"Rock, Metal, Power Metal, Instrumental",Twitch,https://photos.bandsintown.com/thumb/10339331.jpeg
Boleros y Bossas,Eleanor Dubinsky,"Aug 16th, 2020",https://www.facebook.com/eleanordubinskymusic/,"Jazz Fusion, World, Pop, Jazz",us02web.zoom.us,https://photos.bandsintown.com/thumb/10480981.jpeg
The 59th Annual Philadelphia Folk Fest,Lisa Canny,"Aug 15th, 2020",,,folkfest.org,https://assets.bandsintown.com/images/fallbackImage.png
,Charlie Limm,"Aug 14th, 2020",,,Facebook,https://assets.bandsintown.com/images/fallbackImage.png
La MESSE avec DjCharley,DjCharley,"Aug 16th, 2020",https://www.facebook.com/djcharley.ca/,,Twitch,https://photos.bandsintown.com/thumb/10369257.jpeg
Ken O'Malley Live: Songs and Shanties of the Sea,Ken O'Malley Irish Music,"Aug 16th, 2020",https://www.facebook.com/kenomalleyirishmusic/,,Facebook,https://photos.bandsintown.com/thumb/10354593.jpeg
Stell & Snuggs Livestream from Maine,Stell and Snuggs,"Aug 15th, 2020",https://www.facebook.com/stellandsnuggs2bysea,"Folk, International, Experimental, World, Acoustic",Facebook,https://photos.bandsintown.com/thumb/8047124.jpeg
,Anand Bhaskar Collective,"Aug 16th, 2020",,,in.bookmyshow.com,https://assets.bandsintown.com/images/fallbackImage.png
,Doobie Decibel System,"Aug 14th, 2020",https://facebook.com/doobiedecibelsystem,"Rock, Jam Rock, Psychedelic Rock, Folk",www.jambase.com,https://photos.bandsintown.com/thumb/7057985.jpeg
Livestream @ Shippensburg University,Wordsmith,"Aug 15th, 2020",https://www.facebook.com/wordsmith/,"Rap, Underground Rap, Hip Hop, Pop-rap",YouTube,https://photos.bandsintown.com/thumb/9504792.jpeg
LINK & SHLD Livestream,Black Shield,"Aug 15th, 2020",https://facebook.com/blvkshld/,"Electro, Bass, House, Techno",Facebook,https://photos.bandsintown.com/thumb/8650715.jpeg
,Edu Schmidt,"Aug 14th, 2020",,,bue.tickethoy.com,https://assets.bandsintown.com/images/fallbackImage.png
,Idris Elba,"Aug 15th, 2020",,"Rnb-soul, Ambient, Soul, R&b, Other, R&b/soul",in.bookmyshow.com,https://assets.bandsintown.com/images/fallbackImage.png
Apex Presents,Suzy Solar,"Aug 15th, 2020",https://www.facebook.com/djsuzysolar/,"Rock, Progressive, Electronic, Trance, Psy",Twitch,https://photos.bandsintown.com/thumb/10473839.jpeg
BandsInTown Outskirts Rewind,Danny Schmidt,"Aug 14th, 2020",https://www.facebook.com/dannyschmidtmusic,,outskirts.bandsintown.com,https://photos.bandsintown.com/thumb/6039910.jpeg
,Happnin Boy,"Aug 15th, 2020",,,Ents24,https://assets.bandsintown.com/images/fallbackImage.png
,Dong Xi Music,"Aug 15th, 2020",https://www.facebook.com/dongximusic/,World Music,andiemusiklive.com,https://photos.bandsintown.com/thumb/8953776.jpeg
,villano,"Aug 14th, 2020",,,www.boletosexpress.com,https://assets.bandsintown.com/images/fallbackImage.png
,Jonah Miles Music,"Aug 20th, 2020",https://www.facebook.com/JonahMilesOfficial/,"Country Rock, Texas Country, Country, Pop, Rock",Twitch,https://photos.bandsintown.com/thumb/10029432.jpeg
,Josh Taerk,"Aug 14th, 2020",https://www.facebook.com/joshtaerk/,"Pop, Country, Americana, Rock",Facebook,https://photos.bandsintown.com/thumb/10394251.jpeg
,Billie-Jo Porter,"Aug 20th, 2020",https://www.facebook.com/billiejoportermusic,Alternative,Facebook,https://photos.bandsintown.com/thumb/10107819.jpeg
,Zach Heckendorf,"Aug 19th, 2020",https://www.facebook.com/zachheckendorf/,"Folk, Pop, Acoustic, Rock, Songwriter, Singer, Country, Bluegrass",Facebook,https://photos.bandsintown.com/thumb/10432644.jpeg
Mustang 1071 Online Roadshow,Marcy Grace,"Aug 18th, 2020",https://www.facebook.com/marcygracemusic/,Alt-country,Facebook,https://photos.bandsintown.com/thumb/10042845.jpeg
En tournée à Belle-Île-en-Mer,Bazzar Duo,"Aug 19th, 2020",,,www.bazzarduo.com,https://photos.bandsintown.com/thumb/10474275.jpeg
GL streaming live on Facebook!,Gary Lucas,"Aug 18th, 2020",https://www.facebook.com/Expubident/,Various,Facebook,https://photos.bandsintown.com/thumb/10402062.jpeg
,Zomanno,"Aug 19th, 2020",https://facebook.com/zomanno,"Edm, Turntablism, Funk, Rap",Twitch,https://photos.bandsintown.com/thumb/8333428.jpeg
Sunday Blues Club,Lone Bear,"Aug 16th, 2020",https://www.facebook.com/LoneBearMusic/,"Blues, Acoustic Blues, Classic Blues, Country Blues, Old Time Blues, Ragtime",Stageit,https://photos.bandsintown.com/thumb/10479302.jpeg
En tournée à Belle-Île-en-Mer,Bazzar Duo,"Aug 15th, 2020",,,www.bazzarduo.com,https://photos.bandsintown.com/thumb/10474275.jpeg
Sunday Sessions at 11AM EST on Facebook Live!,MY SILENT BRAVERY,"Aug 16th, 2020",https://facebook.com/mysilentbravery,"Alternative, Pop, Pop Rock, Rock",Facebook,https://photos.bandsintown.com/thumb/8034920.jpeg
,Day 2,"Aug 15th, 2020",,,ticketmaster.evyy.net,https://assets.bandsintown.com/images/fallbackImage.png
,Insync,"Aug 15th, 2020",,,in.bookmyshow.com,https://assets.bandsintown.com/images/fallbackImage.png
Dom Pipkin's Piano truth LIVE #15,Dom Pipkin and the Ikos,"Aug 15th, 2020",https://www.facebook.com/domandtheikos/,"Jazz Blues, Jazz, Blues, Blues Gospel, Funk",YouTube,https://photos.bandsintown.com/thumb/10462767.jpeg
House Ninja's Heroic Hump Day House Party,Houseninjamusic,"Aug 26th, 2020",https://www.facebook.com/HouseNinjaMusic/,Edm And House Music,YouTube,https://photos.bandsintown.com/thumb/9006135.jpeg
Songs of Hope with TTO - Facebook & Instagram Live,Two Things One,"Aug 22nd, 2020",https://www.facebook.com/TwoThingsOne/,,Facebook,https://photos.bandsintown.com/thumb/9009275.jpeg
#WorshipWednesday Fb & IG LIVE Virtual Concert,Pamela Mary,"Aug 26th, 2020",https://www.facebook.com/pamelamarykiefer,"Texas Country, Red Dirt Country, 90s Country, Country, Christian Country",Facebook,https://photos.bandsintown.com/thumb/9803052.jpeg
,Of Love,"Aug 22nd, 2020",,,in.bookmyshow.com,https://assets.bandsintown.com/images/fallbackImage.png
Belly Up Live Stream,Sully The Band,"Aug 21st, 2020",https://www.facebook.com/SullyBand/,"Funk, Soul, R&b, Reggae, Soul-blues",Facebook,https://photos.bandsintown.com/thumb/9869368.jpeg
Virtual Shabbat in the Park with B'nai Jehudah,Noah Aronson,"Aug 21st, 2020",https://www.facebook.com/Noah-Aronson-401159306881/,Jewish Folk,Facebook,https://photos.bandsintown.com/thumb/6648981.jpeg
Love & Bossa Nova,Nate Najar,"Aug 21st, 2020",https://www.facebook.com/natenajar/,"Jazz, Bossa Nova",danielasoledade.com,https://photos.bandsintown.com/thumb/10283563.jpeg
Family Fridays with RBP,Rachel Barton Pine,"Aug 21st, 2020",,,Facebook,https://photos.bandsintown.com/thumb/9715373.jpeg
,Kendra,"Aug 21st, 2020",https://www.facebook.com/kendramx/,"Pop, Hard Ska",www.jambase.com,https://photos.bandsintown.com/thumb/8451276.jpeg
Live Music Webcast,Saint John and the Revelations,"Aug 19th, 2020",https://www.facebook.com/saintjohnandtherevelations/,"Folk Rock, Rock, Alt Folk, Alternative, Indie Rock",YouTube,https://photos.bandsintown.com/thumb/440517.jpeg
Yosi concert ,Super Kids Rock,"Aug 17th, 2020",https://www.facebook.com/SuperKidsRock/,,www.lindenpl.org,https://photos.bandsintown.com/thumb/9002259.jpeg
,Willy Crook & Funky Torinos,"Aug 15th, 2020",,,scl.tickethoy.com,https://assets.bandsintown.com/images/fallbackImage.png
,Niki Kennedy,"Aug 16th, 2020",https://facebook.com/nikikennedyca,,sessionslive.com,https://photos.bandsintown.com/thumb/10024935.jpeg
,Emilia,"Aug 14th, 2020",,Pop,www.boletosexpress.com,https://photos.bandsintown.com/thumb/165837.jpeg
,Willy Crook & Funky Torinos,"Aug 15th, 2020",,,bue.tickethoy.com,https://assets.bandsintown.com/images/fallbackImage.png
Afro-Carib Fest,Shope,"Aug 22nd, 2020",https://facebook.com/allofshopeofficial,"Hip Hop, Rap, R&B/soul, Afropop, Afrobeat",Facebook,https://photos.bandsintown.com/thumb/10477333.jpeg
